 @ 0 @ :0
[MIDF] 2019-7-25 0:00:00:186 @ "alphaconverter: NEW DAY - 4"
[MIDF] 2019-7-25 0:00:00:312 @ "current DaylistID: 1005"
[MIDF] 2019-7-25 0:00:00:350 @ "*******New Day Log*********"
[MIDF] 2019-7-25 0:00:35:698 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:01:40:558 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:03:45:708 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:04:45:566 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:05:50:616 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:06:50:574 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:07:55:669 @ "Attempted to reconnect to SPM 13"
[MIDF] 2019-7-25 0:09:00:646 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:10:00:776 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:11:05:643 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:12:10:706 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:13:10:556 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-25 0:14:15:716 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:14:20:723 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-25 0:15:20:556 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:16:25:646 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:17:25:672 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:18:30:684 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-25 0:19:35:763 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:20:35:666 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:21:40:783 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:22:40:546 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:23:45:646 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:24:45:563 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:25:45:686 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-25 0:26:50:576 @ "Attempted to reconnect to SPM 11"
