 @ 0 @ :0
[MIDF] 2019-7-13 0:00:00:158 @ "alphaconverter: NEW DAY - 6"
[MIDF] 2019-7-13 0:00:00:246 @ "current DaylistID: 1007"
[MIDF] 2019-7-13 0:00:00:282 @ "*******New Day Log*********"
[MIDF] 2019-7-13 0:00:50:766 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:01:50:597 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:02:50:776 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:03:50:575 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:04:50:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:05:50:761 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:06:50:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:07:50:706 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:08:55:605 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:09:55:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:11:00:656 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:12:00:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:13:05:716 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:14:05:636 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:15:05:576 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:16:05:762 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:17:10:666 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:18:10:546 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:19:10:639 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:20:10:547 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:21:15:730 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:22:15:782 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-13 0:23:20:586 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:24:20:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:25:25:776 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:26:25:688 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-13 0:27:25:681 @ "Attempted to reconnect to SPM 11"
