 @ 0 @ :0
[MIDF] 2019-7-18 0:00:00:145 @ "alphaconverter: NEW DAY - 4"
[MIDF] 2019-7-18 0:00:00:149 @ "current DaylistID: 1005"
[MIDF] 2019-7-18 0:00:00:242 @ "*******New Day Log*********"
[MIDF] 2019-7-18 0:00:45:651 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 0:00:50:596 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-18 0:01:50:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:02:50:675 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:03:55:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:04:55:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:05:55:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:07:00:656 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:08:00:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:10:00:545 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:11:00:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:12:05:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:13:05:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:14:05:586 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:15:05:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:16:05:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:17:05:759 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:18:10:558 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:19:15:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:20:30:718 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-18 0:21:30:616 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:22:35:765 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:23:40:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:24:40:706 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:25:40:629 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:26:45:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:27:45:706 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:28:45:778 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:29:50:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:30:50:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:31:50:788 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:32:55:717 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:34:00:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:35:00:609 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 0:36:05:575 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:37:05:585 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:38:05:765 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:39:05:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:40:10:698 @ "Attempted to reconnect to SPM 13"
[MIDF] 2019-7-18 0:41:15:628 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:42:15:576 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:43:15:614 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:44:15:577 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:45:15:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:46:15:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:47:15:605 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:48:15:688 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:49:20:596 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:50:25:597 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:51:25:639 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:52:30:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:53:30:696 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:54:30:594 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 0:55:35:767 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:56:35:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:57:40:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:58:45:547 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 0:59:50:786 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:00:55:565 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:01:55:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:02:55:639 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:04:05:767 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:04:10:565 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-18 1:05:10:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:06:10:611 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:06:15:588 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-18 1:07:20:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:08:20:726 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:09:20:641 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:09:25:555 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-18 1:10:25:635 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:11:25:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:12:25:612 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:13:30:595 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:14:35:638 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:15:40:778 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:16:45:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:17:45:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:18:50:657 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:19:50:566 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:20:55:685 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:22:00:765 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:23:00:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:24:05:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:25:05:688 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:26:05:667 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:27:10:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:28:10:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:29:10:618 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:30:15:755 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:31:20:727 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:32:25:683 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:33:30:607 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:34:35:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:35:40:565 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:36:40:658 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:37:45:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:38:50:771 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-18 1:38:55:618 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-18 1:39:55:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:40:55:637 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:42:00:716 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-18 1:43:00:685 @ "Attempted to reconnect to SPM 11"
