 @ 0 @ :0
[MIDF] 2019-7-1 0:00:00:170 @ "alphaconverter: NEW DAY - 1"
[MIDF] 2019-7-1 0:00:00:230 @ "current DaylistID: 1002"
[MIDF] 2019-7-1 0:00:00:279 @ "*******New Day Log*********"
[MIDF] 2019-7-1 0:00:00:548 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:01:05:738 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:02:05:782 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:03:20:616 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:04:25:728 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:05:25:578 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:06:35:806 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-1 0:07:35:688 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:08:40:546 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:09:40:614 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 0:10:45:551 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:11:45:558 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:12:50:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:13:50:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:14:50:670 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:15:55:608 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:17:00:552 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:18:00:600 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:19:00:657 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:20:00:566 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 0:21:05:758 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 0:22:10:618 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 0:23:15:697 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:24:15:767 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:25:15:630 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:26:20:580 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:27:20:618 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:28:20:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:29:20:658 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:30:20:578 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:31:20:718 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:32:20:790 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:33:25:718 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:34:25:738 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:35:30:671 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:36:35:702 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:37:35:700 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:38:35:604 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 0:39:40:692 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:40:40:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:41:45:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:42:45:780 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:43:50:763 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 0:44:55:678 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:45:55:570 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:46:55:678 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 0:48:00:642 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:49:00:577 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:50:05:738 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-1 0:51:05:570 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:52:05:622 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:53:10:598 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:54:15:742 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:55:15:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:56:20:778 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:57:20:652 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 0:58:35:577 @ "Attempted to reconnect to SPM 13"
[MIDF] 2019-7-1 0:59:35:760 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:00:40:640 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:01:45:586 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:02:50:552 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:03:50:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:04:55:728 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:05:55:652 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:06:55:658 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:08:00:628 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:09:00:759 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:10:00:762 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:11:00:684 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:12:00:568 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:13:00:742 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:14:00:680 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:15:00:568 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 1:16:05:578 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 1:17:10:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:18:15:758 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:19:20:547 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:20:20:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:21:25:789 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-1 1:22:30:577 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:23:35:570 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:24:40:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:25:45:698 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:26:45:689 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:27:50:738 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:28:50:690 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:30:00:635 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:31:05:668 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:32:05:678 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:33:05:728 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:34:05:578 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-1 1:35:10:620 @ "Attempted to reconnect to SPM 11"
