 @ 0 @ :0
[MIDF] 2019-7-29 0:00:00:089 @ "alphaconverter: NEW DAY - 1"
[MIDF] 2019-7-29 0:00:00:092 @ "current DaylistID: 1002"
[MIDF] 2019-7-29 0:00:00:107 @ "*******New Day Log*********"
[MIDF] 2019-7-29 0:00:10:595 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:01:10:565 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:02:10:686 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:03:10:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:04:15:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:05:20:775 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:06:20:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:07:20:637 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 0:08:25:736 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:09:25:635 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:10:30:584 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:11:30:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:12:30:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:13:35:604 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:14:35:775 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:15:40:717 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:16:45:737 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:17:50:575 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:18:55:688 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:20:00:565 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:21:00:694 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:22:05:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:23:05:635 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 0:24:10:575 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:25:15:565 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:26:15:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:27:15:598 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:28:20:724 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 0:29:25:584 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:30:25:717 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:31:30:595 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:32:30:635 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:33:30:569 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:34:35:697 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:35:40:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:36:40:623 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:37:45:757 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:38:45:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:39:45:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:40:50:727 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:41:55:635 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:43:00:717 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:44:05:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:45:05:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:46:10:741 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 0:46:15:569 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-29 0:47:15:676 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:48:15:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:49:20:548 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 0:50:25:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:51:25:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:52:25:630 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 0:52:30:585 @ "Attempted to reconnect to SPM 13"
[MIDF] 2019-7-29 0:53:30:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:54:30:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:55:30:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:56:30:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:57:30:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:58:35:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 0:59:40:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:00:40:604 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:01:40:614 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:02:45:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:03:50:808 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:04:55:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:05:55:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:06:55:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:07:55:675 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:09:00:612 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:10:05:544 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:11:05:585 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:12:05:775 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:13:10:595 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 1:14:15:618 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:15:15:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:16:15:585 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:17:20:737 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:18:25:755 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 1:19:30:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:20:30:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:21:35:685 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 1:22:40:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:23:40:607 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:24:45:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:25:45:675 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:26:50:567 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 1:27:55:754 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:29:00:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:30:05:682 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-29 1:31:05:775 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:32:10:545 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 1:33:15:562 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 1:34:20:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:35:20:704 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:36:25:629 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:37:30:565 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:38:30:675 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:39:35:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:40:35:694 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:41:35:575 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:42:45:684 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:43:45:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:44:45:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:45:50:684 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:46:50:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:47:55:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:48:55:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:49:55:707 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:51:00:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:52:00:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:53:00:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:54:05:750 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:55:10:707 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:56:10:724 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:57:15:634 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 1:57:20:629 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-29 1:58:20:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 1:59:20:675 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:00:25:792 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:01:25:756 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:02:30:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:03:35:649 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 2:04:40:664 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:05:40:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:06:50:623 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-29 2:07:50:625 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:08:55:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:10:00:623 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:11:05:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:12:05:617 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:13:10:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:14:10:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:15:10:754 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:16:10:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:17:10:704 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:18:10:658 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-29 2:19:15:545 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:20:15:635 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:21:20:585 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:22:20:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:23:20:707 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-29 2:24:25:584 @ "Attempted to reconnect to SPM 11"
