 @ 0 @ :0
[MIDF] 2019-7-28 0:00:00:132 @ "alphaconverter: NEW DAY - 0"
[MIDF] 2019-7-28 0:00:00:186 @ "current DaylistID: 1001"
[MIDF] 2019-7-28 0:00:00:201 @ "*******New Day Log*********"
[MIDF] 2019-7-28 0:00:30:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:01:30:595 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:02:30:801 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:03:35:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:04:35:714 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:05:40:625 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:06:45:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:07:45:714 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:08:45:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:09:50:625 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:10:50:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:11:55:720 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-28 0:13:00:667 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:14:00:644 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:15:00:765 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:16:00:657 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:17:00:714 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:18:00:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:19:00:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:20:00:675 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:21:05:686 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:22:05:744 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:23:10:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:24:10:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:25:10:575 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-28 0:26:15:749 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:27:20:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:28:20:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:29:25:798 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:30:25:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:31:25:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:32:25:667 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:33:30:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:34:30:664 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:35:35:734 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:36:35:605 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:37:35:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:38:35:757 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:39:35:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:40:35:719 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:41:40:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:42:40:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:43:40:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:44:45:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:45:45:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:46:50:602 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:47:55:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:49:00:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:50:05:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:51:05:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:52:05:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:53:05:562 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:54:10:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:55:10:717 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:56:10:696 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:57:15:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:58:15:766 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 0:59:20:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:00:25:557 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:01:25:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:02:30:635 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-28 1:03:35:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:04:35:585 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:05:40:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:06:40:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:07:40:659 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:08:50:694 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:09:55:565 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:10:55:677 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:11:55:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:12:55:545 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:13:55:623 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-28 1:15:00:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:16:00:697 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:17:05:738 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-28 1:18:10:544 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-28 1:19:15:731 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-28 1:20:20:715 @ "Attempted to reconnect to SPM 11"
