 @ 0 @ :0
[MIDF] 2019-7-5 0:00:00:130 @ "alphaconverter: NEW DAY - 5"
[MIDF] 2019-7-5 0:00:00:131 @ "current DaylistID: 1006"
[MIDF] 2019-7-5 0:00:00:140 @ "*******New Day Log*********"
[MIDF] 2019-7-5 0:00:30:613 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 0:00:35:694 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-5 0:01:35:761 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:02:40:653 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:03:45:677 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:04:45:721 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:05:45:641 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:06:45:737 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:07:50:611 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:08:55:559 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:09:55:599 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:10:55:680 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 0:12:00:621 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:13:00:642 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:14:10:742 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-5 0:15:10:699 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:16:15:751 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:17:15:564 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 0:18:20:771 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:19:20:739 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:20:20:748 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 0:21:25:598 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:22:25:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:23:30:643 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:24:35:557 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:25:35:691 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:26:40:604 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 0:27:45:611 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:28:50:552 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:29:55:621 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:31:00:749 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:32:00:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:33:00:568 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:34:00:604 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:35:05:792 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:36:05:762 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:37:10:759 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 0:37:15:794 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-5 0:38:15:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:39:20:591 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 0:40:30:785 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-5 0:41:30:781 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 0:42:35:773 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:43:35:629 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:44:40:772 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:45:45:731 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:46:50:751 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:47:55:627 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:49:00:561 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:50:05:661 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:51:05:631 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:52:05:661 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:53:10:747 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:54:20:631 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-5 0:55:20:774 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:56:25:621 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:57:35:682 @ "Attempted to reconnect to SPM 13"
[MIDF] 2019-7-5 0:58:40:574 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 0:59:40:771 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:00:50:738 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:01:55:661 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:02:55:621 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 1:04:00:751 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:05:05:631 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:06:10:606 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 1:07:15:621 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:08:20:687 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:09:20:671 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:10:25:547 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:11:30:621 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 1:12:35:657 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:13:35:628 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:14:35:792 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 1:15:45:781 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:16:45:567 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:17:50:665 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 1:17:55:716 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-5 1:19:00:763 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:20:05:647 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:21:05:598 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 1:22:10:557 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:23:10:642 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:24:15:571 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:25:15:591 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:26:15:579 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 1:26:20:635 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-5 1:27:20:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:28:25:571 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 1:30:30:781 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:31:30:682 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-5 1:32:35:608 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:33:35:691 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:34:40:698 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:35:45:751 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:36:50:624 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:37:55:578 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:39:00:601 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:40:05:791 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:41:10:601 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:42:10:731 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:43:10:771 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:44:15:658 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:45:15:710 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:46:20:638 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:47:25:739 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:48:25:611 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:49:30:561 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:50:30:767 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:51:30:644 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:52:35:751 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:53:35:623 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:54:40:781 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:55:40:631 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:56:40:683 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:57:45:694 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:58:45:671 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 1:59:50:721 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 2:00:55:721 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 2:01:55:761 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 2:03:00:611 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 2:04:00:773 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 2:05:00:791 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 2:06:00:701 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-5 2:07:00:601 @ "Attempted to reconnect to SPM 11"
