 @ 0 @ :0
[MIDF] 2019-5-31 0:00:00:197 @ "alphaconverter: NEW DAY - 5"
[MIDF] 2019-5-31 0:00:00:201 @ "current DaylistID: 1006"
[MIDF] 2019-5-31 0:00:00:213 @ "*******New Day Log*********"
[MIDF] 2019-5-31 0:00:35:650 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:01:35:620 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:02:35:599 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:03:35:600 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:04:35:561 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:05:40:640 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:06:40:530 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:07:40:600 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:08:40:690 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:09:45:510 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:10:45:650 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:11:45:560 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:12:50:559 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:13:50:560 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:14:50:660 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:15:50:560 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:16:50:580 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:17:55:570 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:18:55:540 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:19:55:670 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:21:00:530 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:22:00:730 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:23:00:619 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:24:00:659 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:25:00:569 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:26:00:569 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-5-31 0:27:00:640 @ "Attempted to reconnect to SPM 11"
