 @ 0 @ :0
[MIDF] 2019-7-11 0:00:00:041 @ "alphaconverter: NEW DAY - 4"
[MIDF] 2019-7-11 0:00:00:044 @ "current DaylistID: 1005"
[MIDF] 2019-7-11 0:00:00:069 @ "*******New Day Log*********"
[MIDF] 2019-7-11 0:00:10:658 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:01:20:729 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:02:20:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:03:25:599 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:04:25:589 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:05:25:739 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:06:25:589 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:07:30:649 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:08:30:639 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:09:40:701 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-11 0:10:40:678 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:11:40:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:12:40:698 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:13:45:738 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:14:45:657 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-11 0:14:50:679 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-11 0:15:50:719 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:16:50:778 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:17:55:772 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:18:55:679 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:19:55:718 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:21:00:591 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-11 0:22:05:588 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:23:10:689 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:24:15:658 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:25:15:558 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:26:20:741 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:27:25:599 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:28:25:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:29:25:691 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:30:30:698 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:31:30:718 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:32:30:743 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-11 0:33:35:729 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:34:35:709 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-11 0:35:35:804 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-11 0:35:40:573 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-11 0:36:40:659 @ "Attempted to reconnect to SPM 11"
