 @ 0 @ :0
[MIDF] 2019-7-4 0:00:00:165 @ "alphaconverter: NEW DAY - 4"
[MIDF] 2019-7-4 0:00:00:168 @ "current DaylistID: 1005"
[MIDF] 2019-7-4 0:00:00:183 @ "*******New Day Log*********"
[MIDF] 2019-7-4 0:00:25:612 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:01:30:631 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:02:35:781 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:02:40:594 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 0:03:40:771 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:04:40:761 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:05:45:681 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:06:45:641 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:07:45:761 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:08:50:701 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:09:50:681 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:10:55:578 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:11:00:652 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 0:12:00:622 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:13:00:728 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:14:15:674 @ "Attempted to reconnect to SPM 13"
[MIDF] 2019-7-4 0:15:15:602 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:16:20:788 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:17:25:564 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:18:30:571 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:19:30:641 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:20:30:781 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:21:30:627 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:22:30:657 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:23:35:671 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:24:35:552 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:25:40:728 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:26:40:678 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:27:45:621 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:28:50:567 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:29:50:587 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:30:55:551 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:31:55:767 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:33:00:761 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:34:00:567 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:35:00:738 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:36:05:784 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:37:10:622 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:38:15:586 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:39:25:591 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:40:25:561 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:41:30:761 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:42:35:668 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:43:40:651 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:44:45:596 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:45:50:727 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:46:55:618 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:48:00:628 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:49:00:751 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:50:00:780 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:51:05:657 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:52:10:578 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:53:15:676 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:54:20:589 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:55:20:775 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:56:25:624 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 0:56:30:585 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 0:57:30:628 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:58:30:581 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 0:59:35:581 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:00:35:741 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:01:35:643 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:02:40:731 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:03:40:699 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:04:45:638 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:05:50:587 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:06:50:561 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:07:55:737 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:09:00:631 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:10:05:741 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:11:10:682 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:11:15:584 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 1:12:15:771 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:13:20:748 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:14:25:804 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:15:30:677 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:16:30:642 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:17:35:561 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:18:35:631 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:19:35:728 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:20:35:767 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:20:40:705 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 1:21:40:781 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:22:40:571 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:23:45:611 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:24:45:711 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:25:50:571 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:26:55:547 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:27:55:558 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:29:00:689 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:30:00:791 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:31:00:649 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:31:05:644 @ "Attempted to reconnect to SPM 13"
[MIDF] 2019-7-4 1:32:10:661 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:33:15:601 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:34:20:671 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:35:25:617 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:36:25:661 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:37:35:691 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 1:38:35:698 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:39:35:701 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:40:40:639 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:41:45:623 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:42:45:656 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:43:50:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:44:50:721 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:45:50:620 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:46:55:617 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:48:00:651 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:50:10:718 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:51:10:741 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:52:15:709 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:53:20:722 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:54:20:622 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:55:30:672 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:55:35:593 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 1:56:35:619 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:57:35:781 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 1:58:40:705 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 1:58:45:600 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 1:59:45:758 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:00:50:617 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:01:55:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:02:55:778 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:04:00:611 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 2:05:00:621 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:05:05:591 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 2:06:05:631 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:07:10:770 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:08:15:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:09:20:711 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:10:20:741 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:11:20:668 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:12:25:603 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:13:25:701 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:14:30:701 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:15:30:638 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:16:35:681 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:17:35:551 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:18:35:682 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:19:35:552 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:20:35:794 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:21:45:792 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:22:45:615 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:23:50:743 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:23:55:635 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 2:24:55:633 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:25:55:552 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:27:00:711 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:28:05:551 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:29:05:621 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:30:15:775 @ "Attempted to reconnect to SPM 13"
[MIDF] 2019-7-4 2:31:20:693 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:32:25:764 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:33:30:752 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:34:35:731 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:35:35:621 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:36:40:736 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:37:45:551 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:38:50:701 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:40:00:721 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:41:05:589 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:42:10:693 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:43:15:558 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:44:15:737 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:45:15:595 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:46:20:757 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:47:20:671 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:48:20:732 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 2:48:25:600 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 2:49:25:683 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:50:30:641 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:51:35:568 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:52:40:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:53:50:704 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 2:54:50:581 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:55:55:771 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:56:55:701 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:57:55:711 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 2:59:00:652 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 3:00:05:597 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:01:05:791 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:03:20:698 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:04:20:604 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:05:25:681 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:06:30:721 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:07:30:599 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 3:07:35:718 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-4 3:08:35:772 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:09:35:768 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:10:45:622 @ "Attempted to reconnect to SPM 13"
[MIDF] 2019-7-4 3:11:45:639 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:12:50:674 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:13:55:711 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:15:00:747 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:16:05:703 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 3:17:10:621 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:18:10:559 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-4 3:19:15:729 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-4 3:20:15:731 @ "Attempted to reconnect to SPM 11"
