 @ 0 @ :0
[MIDF] 2019-7-26 0:00:00:085 @ "alphaconverter: NEW DAY - 5"
[MIDF] 2019-7-26 0:00:00:138 @ "current DaylistID: 1006"
[MIDF] 2019-7-26 0:00:00:158 @ "*******New Day Log*********"
[MIDF] 2019-7-26 0:00:35:657 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:01:35:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:02:40:757 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 0:03:45:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:04:45:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:05:50:742 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 0:06:55:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:07:55:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:08:55:548 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 0:10:00:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:11:00:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:12:00:727 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:13:05:727 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:14:10:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:15:15:724 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 0:16:20:695 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:17:20:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:18:20:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:19:20:585 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:20:20:728 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:21:25:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:22:25:575 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:23:25:727 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:24:25:616 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:25:25:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:26:25:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:27:25:674 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:28:25:618 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:29:30:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:30:30:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:31:35:697 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:32:35:575 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:33:40:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:34:45:669 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 0:35:50:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:36:50:577 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:37:55:696 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:38:55:615 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:39:55:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:40:55:625 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:41:55:726 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:43:00:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:44:00:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:45:00:662 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 0:46:05:595 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:47:05:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:48:10:575 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:49:10:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:50:20:788 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-26 0:51:20:676 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:52:20:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:53:25:624 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:54:30:694 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:55:30:655 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:57:30:595 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:58:30:725 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 0:59:35:647 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:00:35:637 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:01:35:692 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:02:35:687 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:03:35:545 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:04:40:559 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:05:45:627 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:06:50:657 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:07:55:629 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 1:09:00:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:10:00:635 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:11:00:548 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:12:05:778 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:13:05:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:14:10:694 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:15:15:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:16:15:745 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:17:20:609 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 1:18:25:697 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:19:25:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:20:25:729 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 1:21:30:696 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:22:30:705 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:23:35:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:24:35:635 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:25:35:619 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:26:35:555 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:27:35:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:28:40:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:29:40:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:30:40:757 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:31:40:614 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:32:40:605 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:33:40:626 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:34:45:625 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:35:45:675 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:36:50:704 @ "Attempted to reconnect to SPM 14"
[MIDF] 2019-7-26 1:37:55:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:39:00:735 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:40:00:690 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:41:05:582 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:42:05:755 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:43:05:645 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:44:10:685 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:45:10:614 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:46:15:717 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:47:15:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:48:15:594 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:49:20:590 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 1:50:25:635 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:51:25:665 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:52:30:666 @ "Attempted to reconnect to SPM 10"
[MIDF] 2019-7-26 1:53:35:715 @ "Attempted to reconnect to SPM 11"
[MIDF] 2019-7-26 1:54:35:705 @ "Attempted to reconnect to SPM 11"
